HGNC:20193	MONDO:0014322
HGNC:20194	MONDO:0002457|MONDO:0009558|MONDO:0014666|MONDO:0019505
HGNC:20207	MONDO:0009856
HGNC:20202	MONDO:0015993|MONDO:0012507
HGNC:20249	MONDO:0012669
HGNC:8002	MONDO:0019200|MONDO:0013402
HGNC:20233	MONDO:0013836
HGNC:8011	MONDO:0020766|MONDO:0014569|MONDO:0017049
HGNC:8008	MONDO:0013690
HGNC:20286	MONDO:0054742
HGNC:20297	MONDO:0007661
HGNC:20323	MONDO:0007436|MONDO:0017819
HGNC:20324	MONDO:0014507
HGNC:20305	MONDO:0009431
HGNC:20318	MONDO:0008800
HGNC:20311	MONDO:0015802|MONDO:0014699
HGNC:20373	MONDO:0009568
HGNC:20278	MONDO:0100133|MONDO:0032625
HGNC:20376	MONDO:0010088
HGNC:20371	MONDO:0100133|MONDO:0032619
HGNC:20347	MONDO:0017123|MONDO:0013255
HGNC:20344	MONDO:0030963
HGNC:20372	MONDO:0010672|MONDO:0010494
HGNC:8059	MONDO:0012883
HGNC:8021	MONDO:0008895
HGNC:8022	MONDO:0013165
HGNC:8024	MONDO:0013134
HGNC:8031	MONDO:0007958|MONDO:0009746
HGNC:8032	MONDO:0033367|MONDO:0013483|MONDO:0018614|MONDO:0018097
HGNC:8028	MONDO:0014630
HGNC:8029	MONDO:0016558|MONDO:0032641
HGNC:8082	MONDO:0016293|MONDO:0010690
HGNC:8064	MONDO:0018874|MONDO:0013108
HGNC:8066	MONDO:0010080
HGNC:8067	MONDO:0100101|MONDO:0100104
HGNC:8063	MONDO:0018054
HGNC:20330	MONDO:0054700|MONDO:0011169
HGNC:8079	MONDO:0010693
HGNC:8091	MONDO:0009796
HGNC:8124	MONDO:0008759
HGNC:8125	MONDO:0007763
HGNC:8117	MONDO:0007137
HGNC:8127	MONDO:0030907
HGNC:8101	MONDO:0008746
HGNC:8104	MONDO:0020789|MONDO:0009626
HGNC:8108	MONDO:0010645|MONDO:0010359
HGNC:8109	MONDO:0033642|MONDO:0034104
HGNC:20390	MONDO:0030982
HGNC:20449	MONDO:0014978
HGNC:20444	MONDO:0015802|MONDO:0007974
HGNC:20454	MONDO:0002457|MONDO:0030067
HGNC:20456	MONDO:0016642|MONDO:0032572
HGNC:20422	MONDO:0002457|MONDO:0013385
HGNC:20423	MONDO:0019200|MONDO:0018998|MONDO:0009549|MONDO:0011415
HGNC:20439	MONDO:0019181|MONDO:0002010|MONDO:0010655|MONDO:0010398
HGNC:20499	MONDO:0009370
HGNC:20492	MONDO:0033652|MONDO:0018576
HGNC:20461	MONDO:0010029
HGNC:20474	MONDO:0009176|MONDO:0032614
HGNC:20406	MONDO:0014327
HGNC:20473	MONDO:0019391|MONDO:0012187
HGNC:20577	MONDO:0013997
HGNC:20581	MONDO:0013740
HGNC:20582	MONDO:0014015
HGNC:20580	MONDO:0009924|MONDO:0010810
HGNC:20597	MONDO:0033486|MONDO:0012905
HGNC:20502	MONDO:0014411
HGNC:20509	MONDO:0019502|MONDO:0014930
HGNC:29010	MONDO:0030005|MONDO:0033630
